               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.043935,            0.015321,           0.0036084,             0.72812,             0.65346,             0.71359,              0.3618,            0.041608,            0.010212,           0.0024678,             0.00769,             0.00769,             0.00769
                  72,            0.044041,            0.015291,           0.0035169,             0.73083,             0.65549,             0.71247,             0.36189,            0.041421,            0.010222,           0.0024739,            0.007657,            0.007657,            0.007657
                  73,            0.043683,            0.015272,            0.003513,             0.72584,               0.667,             0.71625,             0.36298,            0.041152,            0.010195,            0.002464,            0.007624,            0.007624,            0.007624
                  74,            0.043798,            0.015186,            0.003436,             0.72183,             0.67264,             0.71611,             0.36151,            0.041159,            0.010198,           0.0024758,            0.007591,            0.007591,            0.007591
                  75,            0.043675,            0.015319,           0.0035809,             0.72617,             0.66733,              0.7179,             0.36456,            0.041432,            0.010176,           0.0025761,            0.007558,            0.007558,            0.007558
                  76,            0.043633,            0.015152,           0.0034889,             0.72599,             0.67219,             0.72321,             0.36911,            0.041371,            0.010142,           0.0025284,            0.007525,            0.007525,            0.007525
                  77,            0.043486,            0.015136,           0.0034055,             0.72759,             0.66826,             0.72112,              0.3682,            0.041313,            0.010119,           0.0024761,            0.007492,            0.007492,            0.007492
                  78,            0.043427,            0.015099,           0.0034604,             0.72649,             0.67003,             0.72101,             0.36851,            0.041394,            0.010144,           0.0025012,            0.007459,            0.007459,            0.007459
                  79,            0.043316,            0.015168,           0.0033874,             0.72733,             0.67141,             0.72389,              0.3709,            0.041475,            0.010109,           0.0024503,            0.007426,            0.007426,            0.007426
                  80,            0.043357,            0.015017,           0.0033394,             0.73269,             0.67158,             0.72595,             0.37184,             0.04135,            0.010106,           0.0024138,            0.007393,            0.007393,            0.007393
                  81,            0.043164,            0.015089,            0.003422,             0.72671,             0.67196,             0.72506,             0.37256,            0.041403,            0.010096,           0.0024597,             0.00736,             0.00736,             0.00736
                  82,            0.043448,            0.015266,           0.0034628,             0.73387,             0.66579,             0.72403,             0.37175,            0.041455,            0.010088,           0.0024683,            0.007327,            0.007327,            0.007327
                  83,            0.043246,             0.01515,           0.0034235,             0.73206,             0.66775,             0.72359,              0.3727,            0.041501,            0.010115,           0.0025011,            0.007294,            0.007294,            0.007294
                  84,            0.043382,            0.014986,            0.003429,             0.72791,             0.67242,             0.72418,             0.37297,            0.041617,            0.010118,           0.0024837,            0.007261,            0.007261,            0.007261
                  85,            0.042974,            0.014989,           0.0031724,             0.73267,             0.66906,             0.72493,             0.37344,            0.041616,             0.01011,           0.0024504,            0.007228,            0.007228,            0.007228
                  86,            0.043284,            0.015044,           0.0034541,             0.73358,              0.6736,              0.7257,             0.37536,            0.041479,            0.010089,           0.0024192,            0.007195,            0.007195,            0.007195
                  87,            0.043028,             0.01502,           0.0034659,             0.73944,             0.67263,             0.72703,             0.37563,            0.041414,            0.010098,           0.0024018,            0.007162,            0.007162,            0.007162
                  88,            0.042994,            0.014802,           0.0033472,                0.73,             0.67614,             0.72714,             0.37735,            0.041382,            0.010085,           0.0023728,            0.007129,            0.007129,            0.007129
                  89,            0.043085,            0.014987,           0.0033936,             0.73379,             0.67263,             0.73044,              0.3786,            0.041266,            0.010072,           0.0024076,            0.007096,            0.007096,            0.007096
                  90,            0.042921,            0.014929,           0.0033968,             0.73725,             0.67019,             0.72956,             0.37795,            0.041241,            0.010073,           0.0024438,            0.007063,            0.007063,            0.007063
                  91,            0.042841,            0.014909,           0.0034311,             0.74116,             0.66792,              0.7302,             0.37848,            0.041222,            0.010077,           0.0024505,             0.00703,             0.00703,             0.00703
                  92,            0.042884,            0.014959,           0.0033748,             0.74499,             0.66976,             0.73129,             0.37947,             0.04123,            0.010062,           0.0024445,            0.006997,            0.006997,            0.006997
                  93,            0.042842,             0.01494,           0.0032724,             0.74417,             0.67009,             0.72912,             0.37976,            0.041165,            0.010056,           0.0024191,            0.006964,            0.006964,            0.006964
                  94,            0.042728,            0.015009,           0.0034152,             0.73988,             0.66972,             0.73114,              0.3821,            0.041196,            0.010043,           0.0024027,            0.006931,            0.006931,            0.006931
                  95,             0.04265,            0.014942,           0.0031849,              0.7342,             0.67332,             0.73136,             0.38281,             0.04126,            0.010043,           0.0023795,            0.006898,            0.006898,            0.006898
                  96,            0.042385,            0.014886,           0.0032218,             0.74021,             0.67129,             0.73368,             0.38379,             0.04127,             0.01004,           0.0023778,            0.006865,            0.006865,            0.006865
                  97,            0.042523,            0.014842,           0.0033321,             0.73842,             0.67402,              0.7346,             0.38405,            0.041244,            0.010039,           0.0023807,            0.006832,            0.006832,            0.006832
                  98,             0.04251,            0.014931,           0.0033554,             0.73552,             0.68031,             0.73583,             0.38472,            0.041173,            0.010036,           0.0023823,            0.006799,            0.006799,            0.006799
                  99,            0.042507,            0.014793,           0.0033023,             0.73881,             0.67948,             0.73825,             0.38551,            0.041099,            0.010031,           0.0023555,            0.006766,            0.006766,            0.006766
